[Command: python -u '/Users/litchein/Documents/Python codes/nestedgenes_chr_half.py']
Parsing GFF..
  Done!
Initializing dictionaries..
  Total entries: 46771
  Done!
Total number of nested genes: 11383
List of nested genes:
Y51B9A.12 is nested in Y51B9A.6
Y51H7BM.2 is nested in fgt-1,H17B01.1
F59H5.4 is nested in linc-8,F59H5.6
F59H5.5 is nested in linc-8,F59H5.6
21ur-15552,M28.11 is nested in M28.9
lfor-1,C38C6.8 is nested in sre-13,C38C6.4
F33A8.7 is nested in let-858,F33A8.1
R07G3.13 is nested in R07G3.7
T01D1.5 is nested in T01D1.8
K04B12.8 is nested in K04B12.2
mir-36,Y62F5A.3 is nested in Y62F5A.9
nos-2,ZK1127.1 is nested in him-14,ZK1127.11
E01G4.8 is nested in tbc-14,E01G4.1
arl-3,F19H8.3 is nested in tps-2,F19H8.1
C50E10.15 is nested in sre-56,C50E10.8
mir-4929,E01G4.9 is nested in E01G4.3
T05A8.t1 is nested in T05A8.10
ZK546.3 is nested in cblc-1,ZK546.17
K12D12.8 is nested in top-2,K12D12.1
K12D12.7 is nested in top-2,K12D12.1
K12D12.6 is nested in top-2,K12D12.1
21ur-15116,ZK675.5 is nested in rev-1,ZK675.2
C52E12.t2 is nested in unc-104,C52E12.2
C52E12.t1 is nested in unc-104,C52E12.2
C52E12.t3 is nested in unc-104,C52E12.2
C52E12.8 is nested in unc-104,C52E12.2
D2089.7 is nested in ptb-1,D2089.4
Y17G7A.2 is nested in lin-29,W03C9.4
Y17G7A.3 is nested in lin-29,W03C9.4
Y17G7A.4 is nested in lin-29,W03C9.4
F56D12.10 is nested in vig-1,F56D12.5
F56D12.11 is nested in jip-1,F56D12.4
21ur-15264,Y43H11AL.4 is nested in pqn-85,Y43H11AL.3
Y43H11AL.7 is nested in pqn-85,Y43H11AL.3
Y43H11AL.6 is nested in pqn-85,Y43H11AL.3
Y43H11AL.5 is nested in pqn-85,Y43H11AL.3
Y43H11AL.8 is nested in pqn-85,Y43H11AL.3
T06D8.11 is nested in T06D8.3
K10H10.15 is nested in K10H10.4
K10H10.11 is nested in K10H10.14
D1022.15 is nested in sro-1,D1022.6
F14D2.18 is nested in irld-5,F14D2.6
B0228.10 is nested in cpna-2,B0228.4
T26C5.5 is nested in T26C5.3
anr-51,T26C5.6 is nested in T26C5.3
C04G6.5 is nested in pld-1,C04G6.3
21ur-8602,C01G6.11 is nested in C01G6.10
W03C9.11 is nested in W03C9.6
B0491.t1 is nested in B0491.11
T15H9.8 is nested in dnj-20,T15H9.7
Y39G8B.12 is nested in Y39G8B.2
T10D4.14 is nested in T10D4.1
F21H12.8 is nested in ptc-2,F21H12.4
M106.6 is nested in mix-1,M106.1
B0457.19 is nested in lat-1,B0457.1
F48A11.10 is nested in chs-2,F48A11.1
mir-8195,F53G2.11 is nested in tsr-1,F53G2.6
F53G2.10 is nested in tsr-1,F53G2.6
21ur-13316,C08G5.8 is nested in snt-6,C08G5.4
C56E6.13 is nested in abcx-1,C56E6.1
C27H5.10 is nested in pdl-1,C27H5.1
gpb-1,F13D12.7 is nested in dna-2,F43G6.1
F13D12.8 is nested in dna-2,F43G6.1
F13D12.6 is nested in dna-2,F43G6.1
alh-8,F13D12.4 is nested in dna-2,F43G6.1
F44E5.5 is nested in dna-2,F43G6.1
F44E5.1 is nested in dna-2,F43G6.1
F44E5.3 is nested in dna-2,F43G6.1
F44E5.2 is nested in dna-2,F43G6.1
F44E5.9 is nested in dna-2,F43G6.1
F44E5.8 is nested in dna-2,F43G6.1
F44E5.6 is nested in dna-2,F43G6.1
F44E5.4 is nested in dna-2,F43G6.1
F44E5.7 is nested in dna-2,F43G6.1
patr-1,F43G6.9 is nested in dna-2,F43G6.1
F13D12.11 is nested in dna-2,F43G6.1
F44E5.10 is nested in dna-2,F43G6.1
F44E5.14 is nested in dna-2,F43G6.1
F44E5.11 is nested in dna-2,F43G6.1
F44E5.13 is nested in dna-2,F43G6.1
F44E5.12 is nested in dna-2,F43G6.1
F44E5.15 is nested in dna-2,F43G6.1
F44E5.16 is nested in dna-2,F43G6.1
F41C3.8 is nested in F10G7.10
C17F4.13 is nested in C17F4.2
mir-40,Y62F5A.7 is nested in Y62F5A.9
C04G6.12 is nested in mpk-2,C04G6.1
C04G6.14 is nested in pld-1,C04G6.3
metl-2,Y53F4B.42 is nested in nsun-5,Y53F4B.4
C16D2.4 is nested in C16D2.2
F26G1.13 is nested in nep-12,F26G1.6
F26G1.11 is nested in nep-12,F26G1.6
ZK945.10 is nested in lov-1,ZK945.9
21ur-14449,C08B11.10 is nested in zyg-11,C08B11.1
F54F11.6 is nested in sre-45,F54F11.3
F18A12.9 is nested in nep-11,F18A12.8
F49C5.t1 is nested in F49C5.4
C41C4.18 is nested in ulp-4,C41C4.6
T27F7.10 is nested in shc-2,T27F7.2
F07A11.14 is nested in F07A11.4
F07A11.15 is nested in din-1,F07A11.6
B0454.12 is nested in B0454.5
F07A11.11 is nested in F07A11.1
E04D5.7 is nested in cut-4,E04D5.3
F07A11.12 is nested in din-1,F07A11.6
C33F10.16 is nested in rig-6,C33F10.5
C33F10.17 is nested in rig-6,C33F10.5
C33F10.15 is nested in rig-6,C33F10.5
C33F10.19 is nested in rig-6,C33F10.5
C33F10.23 is nested in rig-6,C33F10.5
C33F10.22 is nested in rig-6,C33F10.5
C33F10.21 is nested in rig-6,C33F10.5
C33F10.24 is nested in rig-6,C33F10.5
F07A11.13 is nested in F07A11.4
H20J04.10 is nested in H20J04.7
Y46E12BM.1 is nested in spsb-1,Y46E12BL.4
B0495.21 is nested in cpna-5,B0495.10
F35D2.9 is nested in syd-1,F35D2.5
ZK673.5 is nested in ZK673.11
ZK945.11 is nested in lov-1,ZK945.9
F35D2.11 is nested in F35D2.3
srt-54,K10B4.2 is nested in K10B4.3
R05F9.15 is nested in btbd-10,R05F9.1
21ur-13428,F33H1.8 is nested in daf-19,F33H1.1
F34D6.10 is nested in sri-62,F34D6.5
Y57G7A.13 is nested in emc-2,Y57G7A.10
R09D1.16 is nested in chil-18,R09D1.5
T24B8.18 is nested in T24B8.4
C44B7.20 is nested in pmp-2,C44B7.9
F07A11.9 is nested in gfat-1,F07A11.2
F55C12.15 is nested in rfip-1,F55C12.1
T13B5.10 is nested in col-40,T13B5.4
F13D12.9 is nested in VF13D12L.3
F42G4.10 is nested in zyx-1,F42G4.3
F42G4.9 is nested in zyx-1,F42G4.3
21ur-12112,F42G4.8 is nested in zyx-1,F42G4.3
21ur-14216,F28C6.12 is nested in F28C6.9
B0454.23 is nested in B0454.5
Y57A10A.39 is nested in pqn-87,Y57A10A.18
Y57A10A.38 is nested in pqn-87,Y57A10A.18
Y57A10A.37 is nested in pqn-87,Y57A10A.18
Y48C3A.23 is nested in Y48C3A.5
Y48C3A.22 is nested in Y48C3A.5
B0454.14 is nested in B0454.26
mir-85,F49E12.11 is nested in F49E12.8
F49E12.14 is nested in mir-85,F49E12.11
R03D7.14 is nested in R03D7.9
F28C6.11 is nested in rpl-26,F28C6.7
21ur-12798,T08E11.9 is nested in linc-16,T08E11.10
F26H11.9 is nested in F26H11.4
F26H11.10 is nested in F26H11.4
marc-2,D2089.2 is nested in rsp-7,D2089.1
C09G5.11 is nested in C09G5.13
Y51H7BR.9 is nested in Y51H7BR.8
Y51H7BR.t1 is nested in Y51H7BR.9
F43C11.13 is nested in decr-1.1,F43C11.3
mir-252,W02B12.14 is nested in W02B12.13
W02B12.17 is nested in W02B12.13
W02B12.18 is nested in W02B12.13
F54D12.19 is nested in rog-1,F54D12.6
F54D12.17 is nested in rog-1,F54D12.6
F54D12.14 is nested in rog-1,F54D12.6
F54D12.15 is nested in rog-1,F54D12.6
F54D12.12 is nested in rog-1,F54D12.6
C04A2.11 is nested in C04A2.15
C04A2.t1 is nested in C04A2.11
Y46E12BL.11 is nested in spsb-1,Y46E12BL.4
T05C1.7 is nested in camt-1,T05C1.4
M195.5 is nested in C26D10.6
M195.6 is nested in C26D10.6
C25H3.19 is nested in C25H3.8
F35D2.13 is nested in F35D2.14
F35D2.16 is nested in syd-1,F35D2.5
C09D8.6 is nested in ptp-3,C09D8.1
Y62F5A.11 is nested in mdt-8,Y62F5A.1
T24E12.14 is nested in T24E12.10
21ur-14885,ZK1290.17 is nested in tph-1,ZK1290.2
T24H10.12 is nested in jun-1,T24H10.7
T14B4.11 is nested in T14B4.8
T14B4.t1 is nested in T14B4.8
T14B4.16 is nested in T14B4.8
T25D3.6 is nested in T25D3.4
T10B9.13 is nested in cyp-13A6,T10B9.3
W10D9.7 is nested in nfyb-1,W10D9.4
21ur-15129,T08H4.5 is nested in rhgf-2,T08H4.1
21ur-14906,F12E12.13 is nested in F12E12.12
C06A8.3 is nested in glr-4,C06A8.9
Y53F4A.2 is nested in R05H10.3
mir-2216,M106.9 is nested in gmps-1,M106.4
21ur-15401,R134.3 is nested in gcy-3,R134.1
R166.8 is nested in mab-10,R166.1
mct-5,T02G5.12 is nested in T02G5.3
sup-39,C15F1.9 is nested in C15F1.14
mir-1831,C15F1.10 is nested in sup-39,C15F1.9
C41C4.17 is nested in ulp-4,C41C4.6
Y48B6A.17 is nested in Y48B6A.10
ZK131.14 is nested in his-16,ZK131.10
ZK945.14 is nested in lov-1,ZK945.9
C04H5.10 is nested in mog-4,C04H5.6
F58G1.12 is nested in F58G1.7
Y57A10A.44 is nested in sinh-1,Y57A10A.20
ZK945.15 is nested in lact-2,ZK945.1
Y48B6A.22 is nested in ace-3,Y48B6A.8
ZK892.10 is nested in lec-3,ZK892.1
Y53F4B.59 is nested in Y53F4B.13
T21B4.19 is nested in col-85,T21B4.2
T21B4.t1 is nested in T21B4.19
C09H10.12 is nested in unc-53,F45E10.1
C09H10.17 is nested in unc-53,F45E10.1
C09H10.16 is nested in unc-53,F45E10.1
F45E10.3 is nested in unc-53,F45E10.1
C09H10.15 is nested in unc-53,F45E10.1
Y14H12A.3 is nested in ephx-1,K07D4.7
21ur-12367,F54H5.6 is nested in F54H5.14
21ur-12994,F28B12.4 is nested in egl-44,F28B12.2
scl-17,Y51H7C.2 is nested in Y51H7C.12
Y38F1A.12 is nested in cyd-1,Y38F1A.5
mir-8192,F22D3.9 is nested in flcn-1,F22D3.2
T27F7.5 is nested in shc-2,T27F7.2
T27F7.4 is nested in eif-1,T27F7.3
T27F7.7 is nested in shc-2,T27F7.2
T27F7.6 is nested in shc-2,T27F7.2
tre-5,C23H3.7 is nested in sptl-1,C23H3.4
F01D5.12 is nested in F01D5.10
R53.10 is nested in dtmk-1,R53.2
F59G1.10 is nested in F59G1.4
lin-4,F59G1.6 is nested in F59G1.10
Y39G8B.11 is nested in Y39G8B.5
21ur-15200,F09C12.10 is nested in F09C12.8
W07G1.8 is nested in sre-44,W07G1.2
C17C3.15 is nested in C17C3.1
F08B1.8 is nested in vhp-1,F08B1.1
anr-54,F08B1.7 is nested in vhp-1,F08B1.1
col-74,ZK1248.2 is nested in ZK1248.13
Y46G5A.40 is nested in pisy-1,Y46G5A.5
M110.11 is nested in qua-1,T05C12.10
C47G2.20 is nested in cut-1,C47G2.1
C47G2.15 is nested in cut-1,C47G2.1
21ur-14969,C18D1.10 is nested in die-1,C18D1.1
mir-5594,K12D12.10 is nested in K12D12.4
C01F1.8 is nested in C01F1.3
C01F1.7 is nested in C01F1.8
Y57A10B.10 is nested in sre-41,Y57A10B.5
C56E6.10 is nested in utp-20,F18C5.3
scl-15,F02E11.5 is nested in nep-13,F39E9.4
F54D12.20 is nested in F54D12.7
ubxn-5,T01E8.9 is nested in T01E8.8
21ur-14717,W10G11.22 is nested in clec-134,W10G11.11
T25D10.9 is nested in zig-10,T25D10.2
Y54G11A.18 is nested in Y54G11A.3
21ur-14793,Y49F6C.9 is nested in linc-11,Y49F6C.11
ZK1290.19 is nested in tph-1,ZK1290.2
ZK1290.18 is nested in tph-1,ZK1290.2
Y38F1A.4 is nested in ptr-18,Y38F1A.3
F59E12.6 is nested in F59E12.16
F01D5.13 is nested in F01D5.6
K08F8.14 is nested in K08F8.5
F43E2.12 is nested in linc-169,F43E2.13
C47G2.9 is nested in C47G2.8
21ur-12600,Y53F4B.49 is nested in Y53F4B.40
F08G2.10 is nested in F08G2.15
Y110A2AL.17 is nested in Y110A2AL.1
Y110A2AL.16 is nested in Y110A2AL.19
Y110A2AL.19 is nested in ptc-3,Y110A2AL.8
T05C12.15 is nested in T05C12.11
F35C11.9 is nested in nlp-5,F35C11.1
ZK1067.t1 is nested in ZK1067.10
Y43F11A.4 is nested in set-24,Y43F11A.5
VM106R.1 is nested in mix-1,M106.1
